ProteinId,ProteinLength,DomainSystem,DomainId,DomainSignature,DomainStart,DomainStop,InterproId,InterproName
AIG96636.1,297,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,32,,
AIG96636.1,297,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,28,32,,
AIG96636.1,297,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,17,27,,
AIG96636.1,297,Phobius,NON_CYTOPLASMIC_DOMAIN,Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.,33,29-09-2014,
AIG96636.1,297,Pfam,PF01611,Filovirus glycoprotein,15,295,IPR002561,Filoviruses glycoprotein
AIG96637.1,288,PIRSF,PIRSF011356,,1,288,IPR014459,Minor nucleoprotein VP30
AIG96637.1,288,Pfam,PF11507,Ebola virus-specific transcription factor VP30,142,271,IPR014459,Minor nucleoprotein VP30
AIG96638.1,251,Pfam,PF06389,Filovirus membrane-associated protein VP24,1,251,IPR009433,Filovirus membrane-associated VP24
AIG96638.1,251,PIRSF,PIRSF011355,,1,251,IPR009433,Filovirus membrane-associated VP24
AIG96639.1,2212,Pfam,PF00946,Mononegavirales RNA dependent RNA polymerase,10,1090,IPR014023,Mononegavirales RNA-directed RNA polymerase catalytic domain
AIG96639.1,2212,Coils,Coil,,2082,2110,,
AIG96639.1,2212,ProSiteProfiles,PS50526,RdRp of negative ssRNA viruses with non-segmented genomes catalytic domain profile.,625,809,IPR014023,Mononegavirales RNA-directed RNA polymerase catalytic domain
AIG96639.1,2212,ProSiteProfiles,PS51590,Viral protein L containing mRNA (guanine-N(7)-)-methyltransferase family profile.,228,2150,IPR025786,RNA-directed RNA polymerase L
AIG96639.1,2212,Pfam,PF14318,Mononegavirales mRNA-capping region V,1104,1357,IPR026890,Mononegavirales mRNA-capping domain V
AIG96639.1,2212,TIGRFAM,TIGR04198,paramyx_RNAcap: mRNA capping enzyme,1215,2202,IPR026890,Mononegavirales mRNA-capping domain V
AIG96639.1,2212,PIRSF,PIRSF037548,,1,2212,IPR017235,RNA-directed RNA polymerase L
